"Country","type","count"
"US","Gold",46
"China","Gold",38
"Russia","Gold",24
"UK","Gold",29
"Germany","Gold",11
"Japan","Gold",7
"Australia","Gold",7
"France","Gold",11
"Italy","Gold",8
"South Korea","Gold",13
"US","Silver",29
"China","Silver",27
"Russia","Silver",26
"UK","Silver",17
"Germany","Silver",19
"Japan","Silver",14
"Australia","Silver",16
"France","Silver",11
"Italy","Silver",9
"South Korea","Silver",8
"US","Bronze",29
"China","Bronze",23
"Russia","Bronze",32
"UK","Bronze",19
"Germany","Bronze",14
"Japan","Bronze",17
"Australia","Bronze",12
"France","Bronze",12
"Italy","Bronze",11
"South Korea","Bronze",7
