Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
1880,-30,-21,-19,-28,-15,-30,-24,-8,-18,-17,-20,-21,-21,***,****,-21,-20,-18,1880
1881,-10,-14,1,-3,-5,-29,-7,-3,-9,-20,-27,-16,-12,-12,-15,-3,-13,-19,1881
1882,9,8,1,-21,-18,-26,-11,3,-2,-23,-22,-25,-11,-10,0,-13,-11,-16,1882
1883,-34,-43,-19,-25,-26,-13,-9,-14,-19,-12,-21,-19,-21,-22,-34,-23,-12,-18,1883
1884,-19,-12,-35,-37,-33,-39,-35,-26,-24,-24,-31,-30,-29,-28,-17,-35,-33,-26,1884
1885,-66,-31,-25,-45,-43,-52,-29,-28,-20,-20,-23,-7,-32,-34,-42,-37,-36,-21,1885
1886,-43,-47,-42,-30,-28,-40,-17,-32,-20,-26,-27,-26,-32,-30,-32,-34,-30,-25,1886
1887,-67,-49,-32,-38,-34,-22,-20,-28,-21,-34,-27,-39,-34,-33,-47,-35,-23,-27,1887
1888,-44,-43,-48,-29,-23,-21,-10,-12,-8,0,-2,-13,-21,-23,-42,-33,-14,-3,1888
1889,-21,13,3,4,-4,-13,-6,-19,-20,-24,-32,-31,-12,-11,-7,1,-13,-25,1889
1890,-48,-50,-42,-39,-49,-29,-30,-37,-37,-24,-38,-31,-38,-38,-43,-44,-32,-33,1890
1891,-46,-50,-16,-26,-18,-22,-22,-22,-14,-24,-37,-2,-25,-27,-42,-20,-22,-25,1891
1892,-25,-15,-37,-35,-25,-20,-27,-20,-25,-17,-50,-29,-27,-25,-14,-32,-22,-31,1892
1893,-68,-51,-24,-33,-35,-24,-14,-23,-19,-17,-17,-37,-30,-29,-49,-31,-20,-17,1893
1894,-55,-33,-22,-41,-30,-44,-32,-28,-23,-17,-25,-22,-31,-32,-42,-31,-35,-22,1894
1895,-45,-44,-30,-23,-24,-26,-17,-17,-3,-12,-17,-12,-23,-23,-37,-26,-20,-10,1895
1896,-23,-15,-30,-33,-20,-14,-6,-9,-4,5,-16,-12,-15,-15,-17,-28,-10,-5,1896
1897,-23,-19,-13,-2,-1,-13,-5,-4,-5,-10,-19,-26,-12,-11,-18,-5,-8,-11,1897
1898,-7,-34,-57,-35,-37,-22,-24,-25,-21,-34,-36,-22,-29,-30,-23,-43,-23,-30,1898
1899,-19,-40,-36,-22,-21,-27,-14,-4,-2,-1,11,-27,-17,-17,-27,-26,-15,2,1899
1900,-40,-8,1,-15,-6,-15,-8,-4,1,8,-13,-14,-9,-10,-25,-7,-9,-1,1900
1901,-29,-5,4,-6,-18,-11,-8,-12,-17,-29,-18,-30,-15,-14,-16,-7,-10,-21,1901
1902,-21,-5,-30,-29,-32,-36,-27,-29,-22,-29,-37,-47,-29,-27,-18,-30,-31,-29,1902
1903,-29,-7,-23,-41,-43,-45,-31,-44,-43,-42,-40,-48,-36,-36,-28,-36,-40,-42,1903
1904,-65,-55,-48,-50,-51,-50,-49,-44,-47,-35,-17,-29,-45,-47,-56,-49,-47,-33,1904
1905,-38,-59,-25,-36,-34,-32,-25,-21,-15,-23,-9,-21,-28,-29,-42,-32,-26,-16,1905
1906,-30,-34,-15,-2,-21,-22,-26,-19,-25,-21,-39,-18,-23,-23,-28,-13,-22,-28,1906
1907,-44,-53,-25,-41,-47,-44,-35,-37,-32,-24,-52,-50,-40,-38,-38,-37,-38,-36,1907
1908,-46,-36,-58,-46,-40,-39,-35,-45,-33,-44,-51,-50,-44,-44,-44,-48,-40,-43,1908
1909,-70,-47,-52,-59,-54,-52,-43,-30,-38,-39,-32,-55,-48,-47,-56,-55,-42,-36,1909
1910,-45,-44,-48,-39,-35,-37,-31,-34,-37,-39,-57,-69,-43,-42,-48,-41,-34,-44,1910
1911,-64,-61,-63,-55,-52,-47,-41,-43,-39,-26,-21,-26,-45,-49,-65,-57,-44,-29,1911
1912,-28,-15,-38,-21,-20,-26,-41,-52,-48,-56,-39,-42,-35,-34,-23,-26,-40,-48,1912
1913,-41,-45,-44,-37,-46,-46,-34,-32,-33,-35,-19,-4,-35,-38,-42,-42,-38,-29,1913
1914,1,-15,-23,-27,-20,-22,-24,-14,-14,-5,-21,-10,-16,-16,-6,-23,-20,-13,1914
1915,-19,-1,-10,8,-1,-16,-2,-15,-12,-22,-14,-26,-11,-10,-10,-1,-11,-16,1915
1916,-21,-22,-31,-25,-27,-43,-33,-26,-29,-28,-43,-78,-34,-29,-23,-28,-34,-33,1916
1917,-47,-56,-49,-39,-49,-40,-22,-26,-18,-35,-29,-71,-40,-41,-60,-46,-29,-27,1917
1918,-43,-32,-21,-39,-37,-28,-20,-26,-14,-3,-16,-28,-26,-29,-49,-32,-25,-11,1918
1919,-19,-21,-26,-19,-19,-28,-21,-19,-18,-15,-30,-34,-22,-22,-23,-21,-23,-21,1919
1920,-15,-24,-7,-26,-25,-32,-31,-29,-20,-28,-34,-46,-26,-25,-24,-19,-31,-27,1920
1921,-4,-21,-28,-36,-36,-31,-15,-23,-17,-7,-17,-18,-21,-23,-24,-33,-23,-14,1921
1922,-33,-42,-13,-21,-34,-32,-26,-31,-29,-32,-16,-17,-27,-27,-31,-23,-30,-25,1922
1923,-27,-36,-31,-38,-33,-24,-28,-29,-27,-12,4,-4,-24,-25,-27,-34,-27,-12,1923
1924,-23,-26,-12,-34,-19,-28,-26,-34,-31,-35,-23,-42,-28,-25,-18,-22,-29,-30,1924
1925,-33,-34,-23,-25,-30,-34,-29,-18,-13,-17,3,10,-20,-24,-36,-26,-27,-9,1925
1926,20,7,12,-14,-25,-25,-20,-10,-11,-11,-7,-30,-9,-6,12,-9,-18,-10,1926
1927,-28,-20,-38,-31,-25,-27,-15,-19,-6,0,-4,-35,-21,-20,-26,-31,-20,-3,1927
1928,-3,-11,-28,-29,-29,-41,-20,-25,-20,-19,-10,-20,-21,-23,-17,-29,-29,-16,1928
1929,-47,-58,-35,-41,-39,-43,-33,-29,-24,-15,-15,-53,-36,-33,-42,-38,-35,-18,1929
1930,-29,-24,-9,-25,-25,-18,-16,-10,-11,-8,14,-7,-14,-18,-35,-20,-15,-2,1930
1931,-10,-20,-6,-20,-22,-5,1,-1,-6,0,-10,-9,-9,-9,-13,-16,-2,-6,1931
1932,14,-17,-19,-8,-22,-30,-23,-24,-12,-10,-26,-22,-17,-16,-4,-17,-25,-16,1932
1933,-31,-30,-28,-23,-25,-32,-19,-23,-26,-24,-32,-45,-28,-26,-28,-25,-25,-27,1933
1934,-25,-3,-29,-27,-10,-13,-10,-10,-15,-10,0,-8,-13,-17,-25,-22,-11,-9,1934
1935,-37,12,-13,-35,-26,-22,-18,-16,-17,-7,-28,-20,-19,-18,-11,-25,-19,-17,1935
1936,-28,-39,-24,-20,-16,-19,-5,-11,-5,-3,-4,-2,-15,-16,-29,-20,-12,-4,1936
1937,-7,6,-16,-16,-6,-7,-4,4,14,10,10,-10,-2,-1,-1,-13,-2,11,1937
1938,2,-3,6,5,-7,-17,-8,-4,4,12,3,-23,-2,-1,-3,1,-9,6,1938
1939,-12,-11,-19,-12,-7,-8,-5,-5,0,-3,6,41,-3,-8,-15,-13,-6,1,1939
