STUDYID,SITEID,SITENAME,CAT
sample,02,Site 02,> 1 yr.
sample,02,Site 02,> 1 yr.
sample,02,Site 02,> 1 yr.
sample,02,Site 02,> 1 yr.
sample,02,Site 02,> 1 yr.
sample,08,Site 08,> 1 yr.
sample,08,Site 08,> 1 yr.
sample,08,Site 08,> 1 yr.
sample,09,Site 09,> 1 yr.
sample,55,Site 55,> 1 yr.
sample,55,Site 55,> 1 yr.
sample,55,Site 55,> 1 yr.
sample,55,Site 55,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,70,Site 70,> 1 yr.
sample,82,Site 82,> 1 yr.
sample,82,Site 82,10-12 mon.
sample,82,Site 82,> 1 yr.
sample,82,Site 82,> 1 yr.
sample,82,Site 82,> 1 yr.
sample,90,Site 90,> 1 yr.
sample,90,Site 90,10-12 mon.
sample,90,Site 90,4-6 mon.
