Date,Team,Opp,Result,Att,Yds,Avg,Lg,TD,FD,totalYards,player
09/13/15,Pit,@ NE,"L, 28-21",21,127,6.05,28,0,6,534,DeAngelo Williams 
09/13/15,Ari,NO,"W, 31-19",10,37,3.7,12,0,2,734,Chris Johnson 
09/13/15,TB,Ten,"L, 42-14",11,52,4.73,14,0,2,706,Doug Martin 
09/13/15,Oak,Cin,"L, 33-13",11,44,4,12,0,0,678,Latavius Murray 
09/13/15,Car,@ Jac,"W, 20-9",18,56,3.11,22,0,2,662,Jonathan Stewart 
09/13/15,NO,@ Ari,"L, 31-19",9,24,2.67,9,0,1,661,Mark Ingram 
09/13/15,NYJ,Cle,"W, 31-10",20,91,4.55,19,2,5,643,Chris Ivory 
09/13/15,Bal,@ Den,"L, 19-13",14,43,3.07,20,0,4,615,Justin Forsett 
09/13/15,Ind,@ Buf,"L, 27-14",8,31,3.88,9,0,2,599,Frank Gore 
09/13/15,Jac,Car,"L, 20-9",12,51,4.25,14,0,3,585,T.J. Yeldon 
09/13/15,Chi,GB,"L, 31-23",24,141,5.88,23,1,7,548,Matt Forte 
09/13/15,Cin,@ Oak,"W, 33-13",8,63,7.88,28,0,3,547,Giovani Bernard 
09/13/15,Buf,Ind,"W, 27-14",17,41,2.41,16,0,2,528,LeSean McCoy 
09/13/15,Mia,@ Was,"W, 17-10",13,53,4.08,17,0,4,521,Lamar Miller 
09/13/15,Dal,NYG,"W, 27-26",6,16,2.67,8,0,2,494,Darren McFadden 
09/13/15,Den,Bal,"W, 19-13",12,41,3.42,11,0,3,426,Ronnie Hillman 
09/13/15,Sea,@ Stl,"L, 34-31",18,73,4.06,24,0,6,417,Marshawn Lynch 
09/13/15,SD,Det,"W, 33-28",14,51,3.64,14,0,3,413,Melvin Gordon 
09/13/15,Was,Mia,"L, 17-10",25,121,4.84,14,0,5,404,Alfred Morris 
09/13/15,NYG,@ Dal,"L, 27-26",13,52,4,27,1,3,403,Rashad Jennings 
09/13/15,Sea,@ Stl,"L, 34-31",2,5,2.5,4,0,0,395,Thomas Rawls 
