Rank,State,2014,2010,2009,2007,2000
1,Maryland,70004.00,69272.00,70545.00,87080.00,72372.00
2,Alaska,69825.00,68342.00,70378.00,84035.00,70169.00
3,New Jersey,67458.00,67034.00,71595.00,90967.00,81972.00
4,Connecticut,65753.00,66953.00,68460.00,81333.00,67639.00
5,Massachusetts,64859.00,62081.00,61401.00,59365.00,56236.00
6,New Hampshire,64712.00,63557.00,62731.00,61369.00,60489.00
7,Virginia,62881.00,61330.00,58233.00,59562.00,55108.00
8,Hawaii,62814.00,59290.00,57936.00,97317.00,47221.00
9,Minnesota,61814.00,58931.00,57021.00,59948.00,53770.00
10,California,60287.00,69860.00,79989.00,95470.00,90214.00
11,Delaware,57954.00,58548.00,60078.00,85591.00,73439.00
12,Washington,57835.00,54616.00,52288.00,50082.00,50011.00
13,Wyoming,56322.00,55430.00,56993.00,55212.00,54039.00
14,Utah,55869.00,55117.00,56633.00,55109.00,55179.00
15,Colorado,55387.00,54659.00,56033.00,53514.00,48201.00
16,New York,55246.00,54119.00,55701.00,93568.00,52003.00
17,Rhode Island,53636.00,53966.00,56235.00,54124.00,49280.00
18,Illinois,53234.00,53341.00,56361.00,55062.00,50819.00
19,Vermont,52776.00,52664.00,53207.00,51731.00,47227.00
20,North Dakota,51704.00,51618.00,52104.00,49907.00,51622.00
21,Wisconsin,50395.00,49993.00,52094.00,50578.00,48874.00
22,Nebraska,50296.00,49520.00,50713.00,48576.00,47791.00
23,Pennsylvania,50228.00,48745.00,50958.00,49889.00,46729.00
24,Iowa,49427.00,48457.00,50169.00,48730.00,45485.00
25,Texas,49392.00,48259.00,50043.00,47548.00,43425.00
26,Kansas,48964.00,48044.00,48980.00,47292.00,47489.00
27,Nevada,48927.00,47827.00,45685.00,43753.00,43753.00
28,South Dakota,48321.00,47817.00,50177.00,47451.00,44264.00
29,Oregon,46816.00,47590.00,50861.00,49136.00,46841.00
30,Arizona,46709.00,47357.00,49693.00,47085.00,48126.00
31,Indiana,46438.00,45734.00,46581.00,45888.00,45040.00
32,Maine,46033.00,45424.00,47966.00,47448.00,44806.00
33,Georgia,46007.00,45395.00,47988.00,46597.00,45837.00
34,Michigan,45981.00,45255.00,48591.00,47950.00,47064.00
35,Ohio,45749.00,45229.00,46867.00,45114.00,44651.00
36,Missouri,45247.00,45043.00,46032.00,43424.00,44624.00
37,Florida,44299.00,44926.00,47576.00,46253.00,46395.00
38,Montana,44222.00,44736.00,47778.00,47804.00,44448.00
39,North Carolina,43916.00,43674.00,46549.00,44670.00,42061.00
40,Idaho,43341.00,43028.00,43508.00,41452.00,40827.00
41,Oklahoma,43225.00,42492.00,43733.00,40926.00,37943.00
42,South Carolina,42367.00,42442.00,44625.00,43329.00,40822.00
43,New Mexico,41963.00,42322.00,43654.00,43531.00,38629.00
44,Louisiana,41734.00,41725.00,43614.00,42367.00,40676.00
45,Tennessee,41693.00,41664.00,42822.00,41567.00,40001.00
46,Alabama,41415.00,40489.00,42666.00,40554.00,38473.00
47,Kentucky,41141.00,40072.00,41538.00,40267.00,38466.00
48,Arkansas,38758.00,37823.00,38815.00,38134.00,37420.00
49,West Virginia,38482.00,37435.00,37989.00,37060.00,37227.00
50,Mississippi,36919.00,36646.00,37790.00,36338.00,35261.00
