Time,FSC.A,FSC.H,SSC.A
0.0,114298.9,72831,260079.2
0.0,176202.0,102967,262143.0
0.1,101536.5,59334,26587.0
0.3,225545.6,121916,46735.9
0.3,150467.5,85528,32022.0
0.3,152302.8,88279,262143.0
0.4,154196.6,87840,23220.8
0.4,152236.5,87366,21282.5
0.4,187432.4,107823,26665.0
0.5,159971.8,90524,231540.8
0.5,170742.8,91570,28487.6
0.6,151298.9,88787,261418.7
0.6,209089.9,120322,35938.1
0.6,112429.2,59194,26368.9
0.6,131256.8,80769,25725.0
0.7,187581.4,106124,28486.7
0.8,162284.5,95956,36702.3
0.9,106510.6,63691,262143.0
1.0,149974.5,88588,237829.4
1.1,149588.4,93449,18580.0
1.1,107041.0,72122,262143.0
1.2,218708.9,118611,262143.0
1.2,139967.1,86687,23201.1
1.3,78630.2,46078,23169.1
1.4,196638.8,110687,34626.8
1.4,146875.5,101527,40393.7
1.7,168214.8,99151,262143.0
1.7,237235.4,140232,262143.0
1.8,167015.9,95987,23259.4
1.8,170965.9,85813,48927.9
1.9,158717.5,90268,221309.8
1.9,136960.2,83355,262143.0
2.0,126117.4,80011,22700.1
2.2,160717.4,94970,25929.0
2.2,148220.3,97713,262143.0
2.4,206437.9,130966,262143.0
2.5,217728.4,114804,262143.0
2.6,92299.7,50759,221955.6
2.7,157530.4,97670,28281.8
2.8,178829.8,102819,18904.3
2.8,161396.0,93823,31731.6
2.8,148458.2,87959,262143.0
2.8,188672.6,110171,262143.0
3.0,107175.1,63565,25733.4
3.0,204257.8,114935,262143.0
3.2,98626.3,57633,22984.9
3.2,163213.4,91672,29408.8
3.3,161707.3,97097,25572.7
3.3,141727.6,86441,23440.8
3.4,174314.4,105183,23313.9
3.5,180210.4,103182,39441.5
3.6,172430.7,95493,38494.9
3.7,173525.0,94541,30493.6
3.7,149835.7,89611,22812.9
3.7,175048.4,99582,29782.0
3.9,163440.4,91925,262143.0
4.1,38647.4,35709,175463.2
4.2,162669.8,87826,45560.9
4.3,94860.5,60477,21540.1
4.5,126197.8,77408,215311.7
4.6,152713.9,92557,32681.0
4.7,137927.4,87027,23695.5
4.7,150866.8,90864,262143.0
4.7,183638.5,108095,29990.7
4.8,148550.2,98329,26331.3
4.8,148768.6,89013,20410.2
4.8,169476.0,97783,208164.9
4.9,172509.5,97178,19173.2
4.9,170974.4,94021,19114.0
5.0,154993.0,97305,237549.3
5.0,164537.9,91665,15116.1
5.0,194916.5,113960,159250.1
5.1,179978.0,99251,29504.7
5.1,138889.1,67957,12135.4
5.3,198056.0,111331,34259.2
5.3,173843.3,101954,209092.7
5.5,157966.4,89696,32789.1
5.5,133680.3,74436,24650.6
5.6,211181.1,116770,231772.0
5.6,155175.5,92777,17975.6
5.6,87845.2,59290,187186.0
5.6,150883.2,88819,28014.8
5.7,159068.5,94413,219931.8
5.9,174457.9,83376,262143.0
5.9,151990.0,95457,25680.8
5.9,166518.3,86761,20654.6
6.0,187721.0,106475,262143.0
6.0,183227.5,112435,34498.9
6.1,140217.5,85363,21276.0
6.2,181501.3,105639,31736.3
6.2,155486.0,95200,24549.0
6.2,219602.8,119740,209361.5
6.3,221402.2,130301,240092.9
6.3,185572.1,108035,29334.6
6.4,135557.0,75692,262143.0
6.4,164668.1,98356,30250.1
6.4,192718.5,115802,31441.1
6.4,196080.3,111255,28247.0
6.5,53532.2,33009,61955.4
6.5,139718.3,87422,23925.8
6.5,225501.1,142100,111150.3
6.6,99516.3,60142,262143.0
6.7,230582.0,137610,262143.0
6.7,153372.2,99396,262143.0
6.9,158919.5,93410,224105.4
6.9,170638.3,107007,38739.3
6.9,162977.9,103862,29185.1
6.9,72519.7,51635,218060.3
7.0,103045.8,66571,26635.8
7.0,164276.6,99297,29154.1
7.1,221830.4,119123,262143.0
7.1,47881.1,30062,3877.5
7.1,223136.2,132154,98067.4
7.3,154869.0,97561,262143.0
7.3,105824.9,69044,244872.8
7.4,155020.3,93863,19888.5
7.4,64847.6,44945,24507.7
7.6,73011.9,44614,11992.5
7.6,177382.1,111930,34694.5
7.8,153224.8,97016,40954.9
7.8,78572.5,61010,262143.0
7.8,88345.1,58533,262143.0
7.9,156960.2,100272,32388.6
7.9,175007.0,113144,262143.0
8.0,132328.6,86065,262143.0
8.1,170061.0,109715,262143.0
8.2,173770.7,101325,34655.0
8.2,117902.5,69615,28137.0
8.3,126946.6,79149,262143.0
8.3,135584.3,81451,32542.8
8.4,130294.3,82707,24618.6
8.4,165689.2,105343,26473.2
8.4,148337.3,93568,24912.8
8.5,142817.2,93770,28159.6
8.5,159354.0,101247,21885.1
8.5,213487.5,130552,68138.7
8.7,148281.9,89844,28102.2
8.8,155424.4,90721,34587.3
8.8,183959.9,102826,262143.0
8.9,205624.4,123557,149789.0
9.0,205239.8,126400,262143.0
9.0,151362.1,92205,262143.0
9.1,166692.2,91486,32192.2
9.2,163921.7,101971,31967.5
9.3,175965.7,105222,29626.0
9.3,171097.7,98096,226501.5
