Date,Open,High,Low,Close,Volume,Adj. Close*
17-Mar-06,11294.94,11294.94,11253.23,11279.65,2549619968,11279.65
16-Mar-06,11210.97,11324.8,11176.07,11253.24,2292179968,11253.24
15-Mar-06,11149.76,11258.28,11097.23,11209.77,2292999936,11209.77
14-Mar-06,11076.02,11190.96,11030.23,11151.34,2165270016,11151.34
13-Mar-06,11067.61,11157.82,11019.75,11076.02,2070329984,11076.02
10-Mar-06,10972.92,11125.41,10948.43,11076.34,2123449984,11076.34
9-Mar-06,11005.66,11093.39,10923.86,10972.28,2140109952,10972.28
8-Mar-06,10977.08,11065.61,10885.99,11005.74,2442870016,11005.74
7-Mar-06,10957.31,11032.31,10885.35,10980.69,2268049920,10980.69
6-Mar-06,11022.47,11084.66,10899.76,10958.59,2280189952,10958.59
3-Mar-06,11024.23,11125.01,10942.99,11021.59,2152950016,11021.59
2-Mar-06,11052.57,11090.91,10951.71,11025.51,2494589952,11025.51
1-Mar-06,10993.25,11115.8,10960.6,11053.53,2308320000,11053.53
28-Feb-06,11096.75,11115.24,10947.07,10993.41,2370860032,10993.41
27-Feb-06,11062.81,11180.48,11038.72,11097.55,1975320064,11097.55
24-Feb-06,11068.33,11085.38,11010.46,11061.85,1933010048,11061.85
23-Feb-06,11133.52,11167.83,11017.27,11069.22,2144210048,11069.22
22-Feb-06,11086.98,11159.02,11064.25,11137.17,2222380032,11137.17
21-Feb-06,11115.48,11182.68,11011.18,11069.06,2104320000,11069.06
