formoid,fieldname
SCRN,SCRNDT
SCRN,INFCYN
SCRN,PROTOCOL
SCRN,SFYN
SCRN,SFRSN
DM,BIRTHDT
DM,SEX
DM,ETHNIC
DM,RACE
MH,MHSTDT
MH,MHENDT
MH,MHBODSYS
MH,MHTERM
VS,VSDT
VS,SYSBP
VS,DIABP
VS,TEMP
VS,PULSE
VS,RESP
VS,WEIGHT
VS,HEIGHT
HEMA,HEMADT
HEMA,HEMATEST
HEMA,HEMAORRES
HEMA,HEMAORRESU
CHEM,CHEMDT
CHEM,CHEMTEST
CHEM,CHEMORRES
CHEM,CHEMORRESU
CM,CMSTDT
CM,CMENDT
CM,CMTRT
CM,CMIND
CM,CMDOSE
CM,CMUNIT
CM,CMFREQ
CM,CMROUTE
AE,AESTDT
AE,AEENDT
AE,AETERM
AE,ONGOING
AE,AEOUT
AE,AETRT
AE,AETOXGR
SAE,AESTDT
SAE,AEENDT
SAE,AETERM
SAE,SAEDT
SAE,ONGOING
PREG,PREGDT
PREG,AMNIO
PREG,ULTRA
DV,DVDT
DV,DVTYPE
DV,DVCONT
